person,school,ps
"[""person1""]",[10],[1.0]
"[""person2"", ""person2"", ""person2"", ""person2"", ""person2""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person3""]",[15],[1.0]
"[""person4""]",[10],[1.0]
"[""person5""]",[9],[1.0]
"[""person6"", ""person6""]","[2, 10]","[0.198, 0.802]"
"[""person7"", ""person7"", ""person7"", ""person7"", ""person7"", ""person7""]","[9, 10, 11, 14, 15, 16]","[0.108, 0.12, 0.11, 0.142, 0.11, 0.41]"
"[""person8""]",[15],[1.0]
"[""person9""]",[14],[1.0]
"[""person10""]",[14],[1.0]
"[""person11"", ""person11""]","[4, 13]","[0.21, 0.79]"
"[""person12""]",[10],[1.0]
"[""person13""]",[14],[1.0]
"[""person14""]",[15],[1.0]
"[""person15""]",[9],[1.0]
"[""person16""]",[11],[1.0]
"[""person17""]",[15],[1.0]
"[""person18""]",[14],[1.0]
"[""person19""]",[13],[1.0]
"[""person20"", ""person20""]","[6, 14]","[0.268, 0.732]"
"[""person21""]",[10],[1.0]
"[""person22"", ""person22""]","[2, 5]","[0.78, 0.22]"
"[""person23"", ""person23""]","[3, 11]","[0.832, 0.168]"
"[""person24"", ""person24""]","[8, 13]","[0.118, 0.882]"
"[""person25"", ""person25""]","[13, 15]","[0.066, 0.934]"
"[""person26""]",[10],[1.0]
"[""person27""]",[11],[1.0]
"[""person28""]",[9],[1.0]
"[""person29"", ""person29""]","[2, 14]","[0.216, 0.784]"
"[""person30""]",[14],[1.0]
"[""person31"", ""person31""]","[1, 11]","[0.656, 0.344]"
"[""person32""]",[2],[1.0]
"[""person33"", ""person33""]","[9, 12]","[0.996, 0.004]"
"[""person34""]",[15],[1.0]
"[""person35"", ""person35"", ""person35""]","[5, 8, 14]","[0.184, 0.02, 0.796]"
"[""person36"", ""person36""]","[3, 16]","[0.824, 0.176]"
"[""person37""]",[1],[1.0]
"[""person38""]",[8],[1.0]
"[""person39"", ""person39"", ""person39""]","[1, 12, 16]","[0.68, 0.24, 0.08]"
"[""person40""]",[9],[1.0]
"[""person41""]",[11],[1.0]
"[""person42""]",[13],[1.0]
"[""person43""]",[10],[1.0]
"[""person44""]",[9],[1.0]
"[""person45""]",[2],[1.0]
"[""person46""]",[14],[1.0]
"[""person47"", ""person47""]","[1, 14]","[0.65, 0.35]"
"[""person48"", ""person48""]","[5, 6]","[0.73, 0.27]"
"[""person49""]",[10],[1.0]
"[""person50""]",[9],[1.0]
"[""person51"", ""person51""]","[2, 11]","[0.238, 0.762]"
"[""person52""]",[11],[1.0]
"[""person53""]",[10],[1.0]
"[""person54""]",[10],[1.0]
"[""person55""]",[9],[1.0]
"[""person56""]",[14],[1.0]
"[""person57""]",[11],[1.0]
"[""person58""]",[14],[1.0]
"[""person59"", ""person59""]","[11, 12]","[0.998, 0.002]"
"[""person60""]",[9],[1.0]
"[""person61""]",[1],[1.0]
"[""person62""]",[11],[1.0]
"[""person63""]",[10],[1.0]
"[""person64""]",[9],[1.0]
"[""person65""]",[9],[1.0]
"[""person66""]",[11],[1.0]
"[""person67""]",[4],[1.0]
"[""person68""]",[11],[1.0]
"[""person69""]",[16],[1.0]
"[""person70""]",[15],[1.0]
"[""person71"", ""person71"", ""person71""]","[2, 7, 8]","[0.202, 0.004, 0.794]"
"[""person72""]",[10],[1.0]
"[""person73""]",[15],[1.0]
"[""person74""]",[9],[1.0]
"[""person75"", ""person75"", ""person75"", ""person75"", ""person75"", ""person75""]","[9, 10, 11, 13, 14, 15]","[0.184, 0.172, 0.194, 0.068, 0.204, 0.178]"
"[""person76""]",[11],[1.0]
"[""person77""]",[14],[1.0]
"[""person78""]",[9],[1.0]
"[""person79""]",[13],[1.0]
"[""person80"", ""person80"", ""person80"", ""person80"", ""person80""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person81""]",[6],[1.0]
"[""person82"", ""person82""]","[5, 12]","[0.998, 0.002]"
"[""person83""]",[10],[1.0]
"[""person84""]",[14],[1.0]
"[""person85""]",[11],[1.0]
"[""person86""]",[10],[1.0]
"[""person87""]",[15],[1.0]
"[""person88""]",[11],[1.0]
"[""person89""]",[15],[1.0]
"[""person90"", ""person90"", ""person90""]","[4, 6, 14]","[0.228, 0.084, 0.688]"
"[""person91""]",[15],[1.0]
"[""person92""]",[9],[1.0]
"[""person93""]",[9],[1.0]
"[""person94""]",[11],[1.0]
"[""person95""]",[15],[1.0]
"[""person96""]",[9],[1.0]
"[""person97""]",[14],[1.0]
"[""person98""]",[14],[1.0]
"[""person99""]",[11],[1.0]
"[""person100""]",[10],[1.0]
"[""person101""]",[9],[1.0]
"[""person102""]",[13],[1.0]
"[""person103""]",[15],[1.0]
"[""person104""]",[9],[1.0]
"[""person105""]",[15],[1.0]
"[""person106""]",[11],[1.0]
"[""person107""]",[10],[1.0]
"[""person108""]",[11],[1.0]
"[""person109""]",[14],[1.0]
"[""person110""]",[9],[1.0]
"[""person111""]",[15],[1.0]
"[""person112"", ""person112""]","[15, 16]","[0.646, 0.354]"
"[""person113""]",[15],[1.0]
"[""person114""]",[14],[1.0]
"[""person115""]",[1],[1.0]
"[""person116""]",[10],[1.0]
"[""person117""]",[10],[1.0]
"[""person118""]",[5],[1.0]
"[""person119"", ""person119""]","[14, 16]","[0.616, 0.384]"
"[""person120"", ""person120"", ""person120"", ""person120"", ""person120""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person121"", ""person121""]","[4, 16]","[0.218, 0.782]"
"[""person122"", ""person122""]","[4, 14]","[0.2, 0.8]"
"[""person123""]",[15],[1.0]
"[""person124"", ""person124""]","[7, 14]","[0.094, 0.906]"
"[""person125"", ""person125""]","[8, 11]","[0.158, 0.842]"
"[""person126""]",[1],[1.0]
"[""person127""]",[14],[1.0]
"[""person128"", ""person128"", ""person128"", ""person128"", ""person128"", ""person128""]","[7, 9, 10, 11, 14, 15]","[0.142, 0.162, 0.17, 0.18, 0.186, 0.16]"
"[""person129"", ""person129"", ""person129"", ""person129"", ""person129"", ""person129""]","[9, 10, 11, 12, 14, 15]","[0.012, 0.016, 0.018, 0.92, 0.014, 0.02]"
"[""person130""]",[11],[1.0]
"[""person131""]",[10],[1.0]
"[""person132"", ""person132""]","[3, 10]","[0.84, 0.16]"
"[""person133""]",[15],[1.0]
"[""person134""]",[15],[1.0]
"[""person135""]",[15],[1.0]
"[""person136""]",[11],[1.0]
"[""person137"", ""person137""]","[12, 15]","[0.954, 0.046]"
"[""person138""]",[10],[1.0]
"[""person139""]",[14],[1.0]
"[""person140""]",[10],[1.0]
"[""person141""]",[11],[1.0]
"[""person142"", ""person142""]","[10, 13]","[0.932, 0.068]"
