person,school_type,ps_sum
"[""person1""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person2"", ""person2""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.5920000000000001, 0.40800000000000003]"
"[""person3""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person4""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person5""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person6""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person7"", ""person7""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.328, 0.6719999999999999]"
"[""person8""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person9""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person10""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person11"", ""person11""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.21, 0.79]"
"[""person12""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person13""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person14""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person15""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person16""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person17""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person18""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person19""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person20""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person21""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person22"", ""person22""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.78, 0.22]"
"[""person23""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person24"", ""person24""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.118, 0.882]"
"[""person25""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person26""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person27""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person28""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person29""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person30""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person31""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person32""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person33"", ""person33""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.996, 0.004]"
"[""person34""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person35"", ""person35""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.184, 0.8160000000000001]"
"[""person36"", ""person36""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.824, 0.176]"
"[""person37""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person38""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person39"", ""person39""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.68, 0.32]"
"[""person40""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person41""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person42""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person43""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person44""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person45""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person46""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person47"", ""person47""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.65, 0.35]"
"[""person48"", ""person48""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.73, 0.27]"
"[""person49""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person50""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person51"", ""person51""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.238, 0.762]"
"[""person52""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person53""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person54""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person55""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person56""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person57""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person58""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person59"", ""person59""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.998, 0.002]"
"[""person60""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person61""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person62""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person63""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person64""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person65""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person66""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person67""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person68""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person69""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person70""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person71"", ""person71""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.996, 0.004]"
"[""person72""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person73""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person74""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person75"", ""person75""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.624, 0.376]"
"[""person76""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person77""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person78""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person79""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person80"", ""person80""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.5920000000000001, 0.40800000000000003]"
"[""person81""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person82"", ""person82""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.998, 0.002]"
"[""person83""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person84""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person85""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person86""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person87""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person88""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person89""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person90""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person91""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person92""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person93""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person94""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person95""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person96""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person97""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person98""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person99""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person100""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person101""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person102""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person103""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person104""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person105""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person106""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person107""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person108""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person109""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person110""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person111""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person112"", ""person112""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.646, 0.354]"
"[""person113""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person114""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person115""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person116""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person117""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person118""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person119""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person120"", ""person120""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.5920000000000001, 0.40800000000000003]"
"[""person121""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person122""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person123""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person124"", ""person124""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.094, 0.906]"
"[""person125"", ""person125""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.158, 0.842]"
"[""person126""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person127""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person128"", ""person128""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.644, 0.356]"
"[""person129"", ""person129""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.05, 0.9500000000000001]"
"[""person130""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person131""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person132"", ""person132""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.84, 0.16]"
"[""person133""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person134""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person135""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person136""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person137"", ""person137""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.954, 0.046]"
"[""person138""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person139""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person140""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person141""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person142"", ""person142""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.932, 0.068]"
"[""person143""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person144""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person145""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person146""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person147""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person148""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person149"", ""person149""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.998, 0.002]"
"[""person150""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person151""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person152""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person153""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person154""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person155""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person156""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person157""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person158""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person159""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person160""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person161""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person162""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person163""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person164"", ""person164""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.614, 0.386]"
"[""person165""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person166""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person167""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person168""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person169""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person170""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person171""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person172"", ""person172""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.866, 0.134]"
"[""person173""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person174"", ""person174""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.056, 0.944]"
"[""person175""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person176"", ""person176""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.492, 0.508]"
"[""person177""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person178""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person179""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person180""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person181"", ""person181""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.02, 0.98]"
"[""person182""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person183""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person184"", ""person184""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.5920000000000001, 0.40800000000000003]"
"[""person185""]","Union{Missing, String}[""type 1""]",[1.0]
